Pref	Name
Agabi_varbisH97_2	Agaricus_bisporus_var_bisporus_H97
AFLA	Aspergillus_flavus_NRRL_3357
Aurpu_var_pul1	Aureobasidium_pullulans_var_pullulans_EXF-150.Aurpu_var_pul1
Bcin	Botrytis_cinerea_B05.10
Calb	Candida_albicans_SC5314.vA22-s05-m05-r09
Caur	Candida_auris.ASM118947v1
Clus	Clavispora_lusitaniae_atcc_42720.ASM383v1
Cimm	Coccidioides_immitis_RS
Coere1	Coemansia_reversa_NRRL_1564
Coespi1	Coemansia_spiralis_RSA_1278.v1
Ccin	Coprinopsis_cinerea_okayama7_130
Cormi1	Cordyceps_militaris_CM01.Cormi1
Cneo	Cryptococcus_neoformans_var._neoformans_JEC21
Ffuj	Fusarium_fujikuroi_IMI58289
Hesve2finisherSC	Hesseltinella_vesiculosa_NRRL_3301
Hetan2	Heterobasidion_annosum_TC_32-1
Acap	Histoplasma_capsulatum_NAm1
Kircor1	Kirkomyces_cordense_RSA_1222
Lacbi2	Laccaria_bicolor_S238N-H82
Lmac	Leptosphaeria_maculans_JN3
Lobtra1	Lobosporangium_transversale_NRRL_3116
Mory	Magnaporthe_oryzae_70-15
Mani	Metarhizium_anisopliae_ARSEF_23
Micld1	Microbotryum_lychnidis-dioicae_p1A1
Mixos1	Mixia_osmundae_IAM_14324
Ncra	Neurospora_crassa_OR74A
Parpar1	Parasitella_parasitica_NRRL_2501
Phchr2	Phanerochaete_chrysosporium.2
Phoaln1	Pholiota_alnicola_AH_47727
Phybl2	Phycomyces_blakesleeanus_NRRL_1555
PleosPC15_2	Pleurotus_ostreatus_PC15
Podan2	Podospora_anserina_S_mat+.Podan2
PosplRSB12_1	Postia_placenta_MAD_698-R
Pdes	Pseudogymnoascus_destructans_20631-21
Radspe1	Radiomyces_spectabilis_NRRL_2753
Scer	Saccharomyces_cerevisiae_S288C.vR64-2-1
Spifus1	Spinellus_fusiger_NRRL_22323
Sporo1	Sporobolomyces_roseus_CBS_119925
Synfus1	Syncephalis_fuscata_S228
Tilan2	Tilletiaria_anomala_UBC_951
Uree	Uncinocarpus_reesii_1704
Wolco1	Wolfiporia_cocos_MD-104_SS10
